ID_Contenedor,Tipo_Contenedor,Largo_Cont_m,Ancho_Cont_m,Alto_Cont_m,Capacidad_Total_m3,Grupo_Compatibilidad,Tipo_Mercancia,Producto,ID_Producto,Volumen_Ocupado_m3,Peso_Toneladas,Puerto_Destino,Prioridad_Descarga,Precio_por_cm3_USD,Costo_Total_USD,Porcentaje_Ocupacion
C040206,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA9007,1.44,0.377,Los Ángeles,Media,1.45,51472878.17,2.48
C017158,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA8912,2.88,0.675,Shanghai,Baja,1.45,49020678.48,4.97
C025710,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP4196,2.33,0.565,Shanghai,Alta,1.45,76844533.64,4.02
C011675,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,CACAO,CAC5439,2.0,0.516,Valparaíso,Media,0.85,22947632.21,6.02
C036936,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL6192,0.89,0.222,Valparaíso,Media,1.45,55867852.22,1.53
C048417,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL4791,0.89,0.233,Rotterdam,Alta,1.45,58068796.41,1.53
C047633,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,QUINOA,QUI8285,0.65,0.177,Los Ángeles,Media,0.85,15921239.19,1.96
C030958,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA5534,2.67,0.616,Shanghai,Media,1.45,56104218.42,4.6
C033050,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL4860,2.0,0.521,Los Ángeles,Baja,1.45,58506232.4,3.45
C048382,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA5197,2.27,0.537,Shanghai,Media,1.45,51882452.9,3.91
C036430,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,PALTA,PAL4922,0.55,0.135,Shanghai,Media,1.45,67731548.96,0.95
C025140,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,CACAO,CAC8349,2.92,0.662,Valparaíso,Media,0.85,21025438.26,8.8
C015761,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,QUINOA,QUI7128,2.58,0.598,Valparaíso,Media,0.85,19537364.24,7.77
C040758,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,MANGO,MAN7803,1.03,0.248,Shanghai,Baja,1.45,58370421.98,1.78
C000712,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,UVAS,UVA7356,0.95,0.23,Shanghai,Alta,1.45,55624173.02,1.64
C040600,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ESPARRAGOS,ESP7134,0.96,0.259,Valparaíso,Media,1.45,62287663.83,1.66
C002155,Refrigerado,11.58,2.29,2.25,58.0,Perecible_Refrigerado,AGROPECUARIO,ARANDANOS,ARA0020,1.26,0.33,Rotterdam,Media,1.45,51173702.56,2.17
C035584,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_General_Seca,AGROPECUARIO,CACAO,CAC3161,1.81,0.495,Los Ángeles,Media,0.85,15745837.97,5.45
